CIVILSTAND;ALDER;TID;INDHOLD
Ugift;I alt;2020K4;2859116
Ugift;0 år;2020K4;61381
Ugift;1 år;2020K4;61650
Ugift;2 år;2020K4;62532
Ugift;3 år;2020K4;61928
Ugift;4 år;2020K4;62597
Ugift;5 år;2020K4;59132
Ugift;6 år;2020K4;58528
Ugift;7 år;2020K4;59354
Ugift;8 år;2020K4;60586
Ugift;9 år;2020K4;63442
Ugift;10 år;2020K4;66642
Ugift;11 år;2020K4;66984
Ugift;12 år;2020K4;69063
Ugift;13 år;2020K4;67463
Ugift;14 år;2020K4;68501
Ugift;15 år;2020K4;68110
Ugift;16 år;2020K4;68059
Ugift;17 år;2020K4;67736
Ugift;18 år;2020K4;67886
Ugift;19 år;2020K4;70314
Ugift;20 år;2020K4;71873
Ugift;21 år;2020K4;72919
Ugift;22 år;2020K4;73281
Ugift;23 år;2020K4;76513
Ugift;24 år;2020K4;74894
Ugift;25 år;2020K4;76716
Ugift;26 år;2020K4;72077
Ugift;27 år;2020K4;68725
Ugift;28 år;2020K4;64341
Ugift;29 år;2020K4;58801
Ugift;30 år;2020K4;53898
Ugift;31 år;2020K4;48657
Ugift;32 år;2020K4;42918
Ugift;33 år;2020K4;38418
Ugift;34 år;2020K4;35288
Ugift;35 år;2020K4;32035
Ugift;36 år;2020K4;28768
Ugift;37 år;2020K4;26542
Ugift;38 år;2020K4;25126
Ugift;39 år;2020K4;23939
Ugift;40 år;2020K4;23638
Ugift;41 år;2020K4;22435
Ugift;42 år;2020K4;21848
Ugift;43 år;2020K4;20471
Ugift;44 år;2020K4;20984
Ugift;45 år;2020K4;21246
Ugift;46 år;2020K4;19926
Ugift;47 år;2020K4;19284
Ugift;48 år;2020K4;19343
Ugift;49 år;2020K4;18116
Ugift;50 år;2020K4;16711
Ugift;51 år;2020K4;16501
Ugift;52 år;2020K4;16584
Ugift;53 år;2020K4;17551
Ugift;54 år;2020K4;17493
Ugift;55 år;2020K4;16433
Ugift;56 år;2020K4;15761
Ugift;57 år;2020K4;14757
Ugift;58 år;2020K4;13577
Ugift;59 år;2020K4;12616
Ugift;60 år;2020K4;11951
Ugift;61 år;2020K4;11161
Ugift;62 år;2020K4;10690
Ugift;63 år;2020K4;10048
Ugift;64 år;2020K4;9495
Ugift;65 år;2020K4;8689
Ugift;66 år;2020K4;8074
Ugift;67 år;2020K4;7504
Ugift;68 år;2020K4;6670
Ugift;69 år;2020K4;5928
Ugift;70 år;2020K4;5457
Ugift;71 år;2020K4;4815
Ugift;72 år;2020K4;4407
Ugift;73 år;2020K4;4290
Ugift;74 år;2020K4;3913
Ugift;75 år;2020K4;3277
Ugift;76 år;2020K4;2859
Ugift;77 år;2020K4;2361
Ugift;78 år;2020K4;1973
Ugift;79 år;2020K4;1652
Ugift;80 år;2020K4;1509
Ugift;81 år;2020K4;1382
Ugift;82 år;2020K4;1216
Ugift;83 år;2020K4;1062
Ugift;84 år;2020K4;942
Ugift;85 år;2020K4;813
Ugift;86 år;2020K4;671
Ugift;87 år;2020K4;637
Ugift;88 år;2020K4;511
Ugift;89 år;2020K4;460
Ugift;90 år;2020K4;398
Ugift;91 år;2020K4;338
Ugift;92 år;2020K4;256
Ugift;93 år;2020K4;222
Ugift;94 år;2020K4;151
Ugift;95 år;2020K4;143
Ugift;96 år;2020K4;96
Ugift;97 år;2020K4;64
Ugift;98 år;2020K4;46
Ugift;99 år;2020K4;42
Ugift;100 år;2020K4;26
Ugift;101 år;2020K4;7
Ugift;102 år;2020K4;9
Ugift;103 år;2020K4;3
Ugift;104 år;2020K4;2
Ugift;105 år;2020K4;2
Ugift;106 år;2020K4;1
Ugift;107 år;2020K4;0
Ugift;108 år;2020K4;1
Ugift;109 år;2020K4;0
Ugift;110 år;2020K4;0
Ugift;111 år;2020K4;0
Ugift;112 år;2020K4;0
Ugift;113 år;2020K4;0
Ugift;114 år;2020K4;0
Ugift;115 år;2020K4;0
Ugift;116 år;2020K4;0
Ugift;117 år;2020K4;0
Ugift;118 år;2020K4;0
Ugift;119 år;2020K4;0
Ugift;120 år;2020K4;0
Ugift;121 år;2020K4;0
Ugift;122 år;2020K4;0
Ugift;123 år;2020K4;0
Ugift;124 år;2020K4;0
Ugift;125 år;2020K4;0
Gift/separeret;I alt;2020K4;2138124
Gift/separeret;0 år;2020K4;0
