OMRÅDE;CIVILSTAND;TID;INDHOLD
København;Gift/separeret;2008K4;130727
København;Gift/separeret;2009K4;133014
København;Gift/separeret;2010K4;135341
København;Gift/separeret;2011K4;136965
København;Gift/separeret;2012K4;137880
København;Gift/separeret;2013K4;139664
København;Gift/separeret;2014K4;139729
København;Gift/separeret;2015K4;141141
København;Gift/separeret;2016K4;143024
København;Gift/separeret;2017K4;145607
København;Gift/separeret;2018K4;148172
København;Gift/separeret;2019K4;150492
København;Gift/separeret;2020K4;150663
København;Gift/separeret;2021K1;150279
